City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,qarqaraly,49.4058,75.4742,17.55,77,100,3.47,KZ,1691455611
326,mar del plata,-38.0023,-57.5575,6.64,70,75,1.54,AR,1691455140
327,sao joao da barra,-21.6403,-41.0511,22.05,91,0,5.28,BR,1691455611
328,ocean shores,46.9737,-124.1563,22.47,80,0,5.14,US,1691455611
329,nouadhibou,20.931,-17.0347,21.99,83,0,4.12,MR,1691455611
330,lobito,-12.3481,13.5456,19.76,84,56,1.23,AO,1691455612
331,yulinshi,38.2906,109.7494,24.85,52,100,4.27,CN,1691455612
332,olmos,-5.9847,-79.7453,21.06,72,93,2.21,PE,1691455612
333,chinch'on,36.8567,127.4433,29.63,74,20,3.09,KR,1691455612
334,vershino-darasunskiy,52.35,115.5167,21.77,40,38,0.29,RU,1691455613
335,santo antonio do taua,-1.1519,-48.1294,25.97,96,16,1.22,BR,1691455613
336,san-pedro,4.7485,-6.6363,23.46,95,53,2.95,CI,1691455613
337,san ignacio de velasco,-16.3667,-60.95,27.2,49,100,2.22,BO,1691455613
338,lakatoro,-16.0999,167.4164,23.61,85,100,4.83,VU,1691455613
339,vallegrande,-18.4897,-64.1069,14.39,69,100,1.53,BO,1691455614
340,mega,4.05,38.3,13.61,72,4,6.58,ET,1691455614
341,ancud,-41.8697,-73.8203,8.96,85,100,3.4,CL,1691455614
342,lapeer,43.0514,-83.3188,19.81,76,0,2.57,US,1691455614
343,lubang,13.8584,120.124,28.42,82,72,8.52,PH,1691455615
344,yeraliyev,43.2,51.65,28.35,32,0,3.65,KZ,1691455615
345,hola,51.5377,23.1902,14.1,90,100,5.31,PL,1691455615
346,gloucester point,37.254,-76.4969,31.1,77,0,4.12,US,1691455615
347,itoman,26.1247,127.6694,28.01,94,75,10.8,JP,1691455616
348,maintirano,-18.0667,44.0167,21.14,84,5,4.06,MG,1691455616
349,anadyr,64.75,177.4833,12.28,87,75,8.0,RU,1691455616
350,nagqu,31.5,92.0,7.86,84,100,0.57,CN,1691455616
351,svetlyy yar,48.4748,44.781,27.78,37,0,3.21,RU,1691455616
352,vanino,49.0869,140.2543,21.45,47,90,2.89,RU,1691455617
353,mahajanga,-15.7167,46.3167,23.01,68,40,2.57,MG,1691455617
354,saint-augustin-de-desmaures,46.7406,-71.4513,19.33,88,100,8.75,CA,1691455617
355,biloela,-24.4167,150.5,22.22,41,0,5.01,AU,1691455362
356,abancay,-13.6339,-72.8814,14.79,74,17,1.5,PE,1691455618
357,kayangel,8.0823,134.7173,28.08,72,100,8.18,PW,1691455618
358,tamandare,-8.7597,-35.1047,24.01,77,11,4.02,BR,1691455618
359,carutapera,-1.195,-46.02,24.97,89,26,2.63,BR,1691455618
360,merizo village,13.2658,144.6691,29.85,84,100,2.71,GU,1691455618
361,kalmunai,7.4167,81.8167,26.52,75,100,3.67,LK,1691455418
362,luza,60.6308,47.2512,11.6,92,0,2.25,RU,1691455619
363,nemuro,43.3236,145.575,14.69,99,100,6.03,JP,1691455619
364,griffith,41.5284,-87.4237,23.96,73,0,3.6,US,1691455619
